Year,"Geographic
Region",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2005,Southern,Louisiana,All,67,18.1,483,14.2
2005,Southern,Maryland,18-34,<10,--,121,9.7
2005,Southern,Maryland,35-54,38,21.7,196,11.3
2005,Southern,Maryland,55-74,20-30,--,81,8.7
2005,Southern,Maryland,75+,26,29.9,53,17.3
2005,Southern,Maryland,All,95,18.9,451,10.7
2005,Southern,Mississippi,18-34,10,34.5*,105,15.2
2005,Southern,Mississippi,35-54,21,26.9,158,19.7
2005,Southern,Mississippi,55-74,19,20.7*,68,13.8
2005,Southern,Mississippi,75+,12,30.0*,22,13.6
2005,Southern,Mississippi,All,62,25.9,353,16.5
2005,Southern,North Carolina,18-34,17,18.7*,231,11.3
2005,Southern,North Carolina,35-54,63,23.7,443,17.4
2005,Southern,North Carolina,55-74,74,25.2,220,14.5
2005,Southern,North Carolina,75+,49,39.2,86,17.8
2005,Southern,North Carolina,All,203,26.2,980,14.9
2005,Southern,Oklahoma,18-34,13,32.5*,154,18.4
2005,Southern,Oklahoma,35-54,34,31.5,216,22.1
2005,Southern,Oklahoma,55-74,35,24.1,102,16.2
2005,Southern,Oklahoma,75+,21,32.3,39,17.9
2005,Southern,Oklahoma,All,103,28.8,511,19.2
2005,Southern,South Carolina,18-34,<10,--,147,14.8
2005,Southern,South Carolina,35-54,31,22.1,221,18.1
2005,Southern,South Carolina,55-74,24,14.3,97,12.4
2005,Southern,South Carolina,75+,10-20,--,29,12.3
2005,Southern,South Carolina,All,80,19.0,494,15.3
2005,Southern,Tennessee,18-34,11,22.4*,208,15.1
2005,Southern,Tennessee,35-54,49,28.0,353,20.3
2005,Southern,Tennessee,55-74,65,29.7,211,19.6
2005,Southern,Tennessee,75+,40,45.5,71,20.9
2005,Southern,Tennessee,All,165,31.1,843,18.6
2005,Southern,Texas,18-34,51,24.3,711,12.4
2005,Southern,Texas,35-54,145,25.3,989,15.4
2005,Southern,Texas,55-74,133,20.2,443,13.4
2005,Southern,Texas,75+,91,33.3,180,17.5
2005,Southern,Texas,All,420,24.5,2323,14.1
2005,Southern,Virginia,18-34,26,26.5,226,12.6
2005,Southern,Virginia,35-54,61,20.3,339,14.8
2005,Southern,Virginia,55-74,66,23.7,206,16.1
2005,Southern,Virginia,75+,39,33.9,68,17.1
2005,Southern,Virginia,All,192,24.3,839,14.6
2005,Southern,West Virginia,18-34,<10,--,58,14.7
2005,Southern,West Virginia,35-54,10-20,--,97,18.3
2005,Southern,West Virginia,55-74,18,22.5*,58,15.5
2005,Southern,West Virginia,75+,20,54.1,35,26.4
2005,Southern,West Virginia,All,57,31.1,248,17.3
2005,Western,Alaska,18-34,<10,--,48,29.7
2005,Western,Alaska,35-54,12,40.0*,60,28.5
2005,Western,Alaska,55-74,<10,--,10-20,--
2005,Western,Alaska,75+,<10,--,<10,--
2005,Western,Alaska,All,22,30.1,125,26.0
2005,Western,All,18-34,138,28.2,2132,12.9
2005,Western,All,35-54,517,30.9,3347,17.2
2005,Western,All,55-74,478,22.1,1642,15.5
2005,Western,All,75+,350,33.9,877,24.3
2005,Western,All,All,1485,27.7,7998,15.9
2005,Western,Arizona,18-34,15,34.1*,287,20.6
2005,Western,Arizona,35-54,66,42.9,352,22.5
2005,Western,Arizona,55-74,52,23.0,170,16.9
2005,Western,Arizona,75+,52,43.7,97,27.9
2005,Western,Arizona,All,186,34.3,906,21.0
2005,Western,California,18-34,35,16.8,738,8.3
2005,Western,California,35-54,150,21.5,1309,12.6
2005,Western,California,55-74,156,16.9,679,12.8
2005,Western,California,75+,126,25.7,398,21.3
2005,Western,California,All,467,20.1,3124,11.8
2005,Western,Colorado,18-34,16,38.1*,227,19.9
2005,Western,Colorado,35-54,56,37.1,328,23.3
2005,Western,Colorado,55-74,54,32.5,148,20.7
2005,Western,Colorado,75+,37,57.8,68,31.8
2005,Western,Colorado,All,163,38.5,771,22.2
2005,Western,Hawaii,18-34,<10,--,27,8.9
2005,Western,Hawaii,35-54,<10,--,47,12.6
2005,Western,Hawaii,55-74,<10,--,19,8.2*
2005,Western,Hawaii,75+,<10,--,10,11.3*
2005,Western,Hawaii,All,15,12.1*,103,10.4
2005,Western,Idaho,18-34,<10,--,62,18.3
2005,Western,Idaho,35-54,16,39.0*,87,22.5
2005,Western,Idaho,55-74,10-20,--,44,19.0
2005,Western,Idaho,75+,16,66.7*,29,37.5
2005,Western,Idaho,All,52,39.4,222,21.5
2005,Western,Montana,18-34,<10,--,51,25.0
2005,Western,Montana,35-54,22,71.0,86,31.4
2005,Western,Montana,55-74,20,42.6,39,22.0
2005,Western,Montana,75+,<10,--,16,25.5*
2005,Western,Montana,All,52,50.0,192,26.7
2005,Western,Nevada,18-34,10,55.6*,106,18.4
2005,Western,Nevada,35-54,35,47.3,188,26.7
2005,Western,Nevada,55-74,43,41.0,115,26.8
2005,Western,Nevada,75+,22,53.7,52,46.8
2005,Western,Nevada,All,110,46.2,461,25.3
2005,Western,New Mexico,18-34,10,58.8*,95,21.3
2005,Western,New Mexico,35-54,25,42.4,143,26.5
2005,Western,New Mexico,55-74,17,21.3*,55,16.3
2005,Western,New Mexico,75+,13,43.3*,31,29.0
2005,Western,New Mexico,All,65,34.9,324,22.7
2005,Western,Oregon,18-34,<10,--,120,14.4
2005,Western,Oregon,35-54,43,38.7,234,22.3
2005,Western,Oregon,55-74,38,25.0,122,18.8
2005,Western,Oregon,75+,30-40,--,70,29.8
2005,Western,Oregon,All,118,32.2,546,19.8
2005,Western,Utah,18-34,<10,--,133,18.8
2005,Western,Utah,35-54,14,32.6*,133,22.9
2005,Western,Utah,55-74,<10,--,52,17.2
2005,Western,Utah,75+,<10,--,19,19.2*
2005,Western,Utah,All,38,24.8,337,19.9
2005,Western,Washington,18-34,25,41.0,210,14.4
2005,Western,Washington,35-54,69,31.1,352,18.7
2005,Western,Washington,55-74,54,20.9,165,15.9
2005,Western,Washington,75+,26,24.5,75,21.5
2005,Western,Washington,All,174,26.9,802,16.9
2005,Western,Wyoming,18-34,<10,--,28,23.5
2005,Western,Wyoming,35-54,<10,--,28,18.6
2005,Western,Wyoming,55-74,12,54.5*,20-30,--
2005,Western,Wyoming,75+,<10,--,<10,--
2005,Western,Wyoming,All,23,44.2,85,21.8
2005,All,U.S. Total,18-34,576,25.4,8455,12.3
2005,All,U.S. Total,35-54,2137,28.2,13541,15.7
2005,All,U.S. Total,55-74,2001,20.3,6554,13.2
2005,All,U.S. Total,75+,1405,28.6,3060,17.2
2005,All,U.S. Total,All,6123,24.9,31610,14.2
2006,Northeastern,All,18-34,65,24.6,1075,9.0
2006,Northeastern,All,35-54,228,22.1,2000,12.2
2006,Northeastern,All,55-74,251,15.3,962,9.9
2006,Northeastern,All,75+,173,17.5,391,10.3
2006,Northeastern,All,All,717,18.3,4428,10.6
2006,Northeastern,Connecticut,18-34,<10,--,69,9.7
2006,Northeastern,Connecticut,35-54,16,22.9*,133,12.2
2006,Northeastern,Connecticut,55-74,15,12.9*,54,8.7
2006,Northeastern,Connecticut,75+,10-20,--,25,9.9
2006,Northeastern,Connecticut,All,44,16.3,281,10.5
2006,Northeastern,Maine,18-34,<10,--,28,10.7
2006,Northeastern,Maine,35-54,12,26.7*,72,17.5
2006,Northeastern,Maine,55-74,16,28.1*,43,16.1
2006,Northeastern,Maine,75+,<10,--,12,12.6*
2006,Northeastern,Maine,All,41,29.3,155,15.0
2006,Northeastern,Massachusetts,18-34,<10,--,104,7.1
2006,Northeastern,Massachusetts,35-54,25,20.7,219,11.3
2006,Northeastern,Massachusetts,55-74,14,7.3*,97,8.7
2006,Northeastern,Massachusetts,75+,<10,--,23,5.2
2006,Northeastern,Massachusetts,All,52,11.2,443,8.9
2006,Northeastern,New Hampshire,18-34,<10,--,36,13.5
2006,Northeastern,New Hampshire,35-54,<10,--,65,15.4
2006,Northeastern,New Hampshire,55-74,15,25.9*,36,15.1
2006,Northeastern,New Hampshire,75+,<10,--,13,16.6*
2006,Northeastern,New Hampshire,All,33,24.8,150,15.0
2006,Northeastern,New Jersey,18-34,<10,--,128,7.0
2006,Northeastern,New Jersey,35-54,10-20,--,252,9.4
2006,Northeastern,New Jersey,55-74,21,9.2,134,8.9
2006,Northeastern,New Jersey,75+,19,12.7*,58,10.2
2006,Northeastern,New Jersey,All,67,12.3,572,8.7
2006,Northeastern,New York,18-34,17,21.5*,324,7.3
2006,Northeastern,New York,35-54,56,18.5,564,10.0
2006,Northeastern,New York,55-74,66,13.9,289,8.7
2006,Northeastern,New York,75+,41,14.2,113,9.1
2006,Northeastern,New York,All,180,15.7,1290,8.8
2006,Northeastern,Pennsylvania,18-34,22,29.7,351,13.2
2006,Northeastern,Pennsylvania,35-54,81,28.6,608,16.5
2006,Northeastern,Pennsylvania,55-74,88,19.3,274,11.8
2006,Northeastern,Pennsylvania,75+,72,25.8,135,13.6
2006,Northeastern,Pennsylvania,All,263,24.1,1368,14.2
2006,Northeastern,Rhode Island,18-34,<10,--,24,9.8
2006,Northeastern,Rhode Island,35-54,<10,--,42,13.3
2006,Northeastern,Rhode Island,55-74,10,27.8*,10-20,--
2006,Northeastern,Rhode Island,75+,<10,--,<10,--
2006,Northeastern,Rhode Island,All,21,23.9,89,10.8
2006,Northeastern,Vermont,18-34,<10,--,10-20,--
2006,Northeastern,Vermont,35-54,<10,--,45,23.4
2006,Northeastern,Vermont,55-74,<10,--,17,14.0*
2006,Northeastern,Vermont,75+,<10,--,<10,--
2006,Northeastern,Vermont,All,16,30.8*,80,16.5
2006,Midwestern,All,18-34,115,24.5,1927,12.9
2006,Midwestern,All,35-54,498,30.5,3290,17.2
2006,Midwestern,All,55-74,479,21.7,1421,12.5
2006,Midwestern,All,75+,300,26.4,553,13.0
2006,Midwestern,All,All,1394,25.6,7191,14.5
2006,Midwestern,Illinois,18-34,13,17.8*,266,8.9
2006,Midwestern,Illinois,35-54,57,24.2,445,12.2
2006,Midwestern,Illinois,55-74,60,16.7,208,10.1
2006,Midwestern,Illinois,75+,28,14.6,65,8.6
2006,Midwestern,Illinois,All,158,18.4,984,10.4
2006,Midwestern,Indiana,18-34,<10,--,214,14.7
2006,Midwestern,Indiana,35-54,60,35.5,387,21.3
2006,Midwestern,Indiana,55-74,45,21.8,141,13.1
2006,Midwestern,Indiana,75+,30-40,--,59,15.4
2006,Midwestern,Indiana,All,148,28.5,801,16.9
2006,Midwestern,Iowa,18-34,<10,--,77,11.6
2006,Midwestern,Iowa,35-54,21,28.4,146,17.5
2006,Midwestern,Iowa,55-74,23,21.5,65,12.2
2006,Midwestern,Iowa,75+,10-20,--,25,10.9
2006,Midwestern,Iowa,All,63,24.2,313,13.8
2006,Midwestern,Kansas,18-34,<10,--,113,17.7
2006,Midwestern,Kansas,35-54,28,36.4,151,19.5
2006,Midwestern,Kansas,55-74,25,28.1,74,16.1
2006,Midwestern,Kansas,75+,10-20,--,28,15.1
2006,Midwestern,Kansas,All,76,30.9,366,17.8
2006,Midwestern,Michigan,18-34,14,22.2*,247,11.3
2006,Midwestern,Michigan,35-54,95,38.8,532,18.0
2006,Midwestern,Michigan,55-74,84,25.1,237,13.5
2006,Midwestern,Michigan,75+,45,26.6,88,14.1
2006,Midwestern,Michigan,All,238,29.3,1104,14.7
2006,Midwestern,Minnesota,18-34,<10,--,157,13.3
2006,Midwestern,Minnesota,35-54,32,26.0,236,15.4
2006,Midwestern,Minnesota,55-74,33,18.0,98,11.6
2006,Midwestern,Minnesota,75+,20-30,--,38,11.9
2006,Midwestern,Minnesota,All,98,22.9,529,13.6
2006,Midwestern,Missouri,18-34,19,39.6*,209,15.8
2006,Midwestern,Missouri,35-54,56,33.9,344,20.6
2006,Midwestern,Missouri,55-74,46,20.7,138,13.2
2006,Midwestern,Missouri,75+,43,38.7,82,21.6
2006,Midwestern,Missouri,All,165,30.2,773,17.5
2006,Midwestern,Nebraska,18-34,<10,--,50,12.1
2006,Midwestern,Nebraska,35-54,<10,--,77,15.7
2006,Midwestern,Nebraska,55-74,18,30.0*,44,14.8
2006,Midwestern,Nebraska,75+,<10,--,15,12.3*
2006,Midwestern,Nebraska,All,39,25.0,186,14.1
2006,Midwestern,North Dakota,18-34,<10,--,42,26.0
2006,Midwestern,North Dakota,35-54,<10,--,28,15.7
2006,Midwestern,North Dakota,55-74,<10,--,10-20,--
2006,Midwestern,North Dakota,75+,<10,--,<10,--
2006,Midwestern,North Dakota,All,17,26.6*,84,16.7
2006,Midwestern,Ohio,18-34,22,25.3,358,14.3
2006,Midwestern,Ohio,35-54,71,22.3,548,16.3
2006,Midwestern,Ohio,55-74,84,21.1,264,12.9
2006,Midwestern,Ohio,75+,64,30.0,112,14.7
2006,Midwestern,Ohio,All,241,23.7,1282,14.8
2006,Midwestern,South Dakota,18-34,<10,--,36,20.3
2006,Midwestern,South Dakota,35-54,<10,--,54,25.1
2006,Midwestern,South Dakota,55-74,12,41.4*,20-30,--
2006,Midwestern,South Dakota,75+,<10,--,<10,--
2006,Midwestern,South Dakota,All,24,30.8,115,19.6
2006,Midwestern,Wisconsin,18-34,<10,--,158,12.7
2006,Midwestern,Wisconsin,35-54,57,42.5,342,20.7
2006,Midwestern,Wisconsin,55-74,43,21.9,119,12.4
2006,Midwestern,Wisconsin,75+,10-20,--,35,9.4
2006,Midwestern,Wisconsin,All,127,27.6,654,15.5
2006,Southern,Alabama,18-34,18,42.9*,177,16.9
2006,Southern,Alabama,35-54,41,28.7,213,16.2
2006,Southern,Alabama,55-74,40,24.1,127,14.8
2006,Southern,Alabama,75+,21,27.6,47,17.0
2006,Southern,Alabama,All,120,28.1,564,16.1
2006,Southern,All,18-34,224,22.6,3248,12.8
2006,Southern,All,35-54,827,26.3,5373,17.1
2006,Southern,All,55-74,841,23.1,2843,14.9
2006,Southern,All,75+,530,30.3,1127,18.0
2006,Southern,All,All,2422,25.4,12591,15.3
2006,Southern,Arkansas,18-34,<10,--,93,14.5
2006,Southern,Arkansas,35-54,26,31.3,149,19.3
2006,Southern,Arkansas,55-74,24,22.6,84,15.8
2006,Southern,Arkansas,75+,20-30,--,37,20.5
2006,Southern,Arkansas,All,80,29.9,363,17.1
2006,Southern,Delaware,18-34,<10,--,22,11.4
2006,Southern,Delaware,35-54,<10,--,37,14.8
2006,Southern,Delaware,55-74,<10,--,20-30,--
2006,Southern,Delaware,75+,<10,--,<10,--
2006,Southern,Delaware,All,16,19.5*,87,13.3
2006,Southern,District of Columbia,18-34,<10,--,<10,--
2006,Southern,District of Columbia,35-54,<10,--,12,7.6*
2006,Southern,District of Columbia,55-74,<10,--,<10,--
2006,Southern,District of Columbia,75+,<10,--,<10,--
2006,Southern,District of Columbia,All,<10,--,30,6.5
2006,Southern,Florida,18-34,37,26.2,466,12.0
2006,Southern,Florida,35-54,162,31.0,977,18.9
2006,Southern,Florida,55-74,178,26.2,637,17.5
2006,Southern,Florida,75+,125,27.6,321,21.8
2006,Southern,Florida,All,502,28.0,2401,17.0
2006,Southern,Georgia,18-34,16,19.8*,223,10.0
2006,Southern,Georgia,35-54,68,24.4,415,15.4
2006,Southern,Georgia,55-74,50,17.7,184,12.9
2006,Southern,Georgia,75+,32,32.3,80,20.3
2006,Southern,Georgia,All,166,22.4,902,13.4
2006,Southern,Kentucky,18-34,<10,--,166,17.3
2006,Southern,Kentucky,35-54,47,41.2,272,22.1
2006,Southern,Kentucky,55-74,43,29.9,124,16.1
2006,Southern,Kentucky,75+,20-30,--,46,18.7
2006,Southern,Kentucky,All,121,34.2,608,19.0
2006,Southern,Louisiana,18-34,<10,--,160,15.7
2006,Southern,Louisiana,35-54,21,18.4,194,15.8
2006,Southern,Louisiana,55-74,23,17.0,92,12.4
2006,Southern,Louisiana,75+,10-20,--,34,14.4
2006,Southern,Louisiana,All,68,18.9,480,14.9
2006,Southern,Maryland,18-34,11,23.9*,150,12.0
2006,Southern,Maryland,35-54,21,12.3,188,10.8
2006,Southern,Maryland,55-74,34,18.9,111,11.6
2006,Southern,Maryland,75+,20,23.3,36,11.6
2006,Southern,Maryland,All,86,17.8,485,11.4
2006,Southern,Mississippi,18-34,<10,--,80,11.8
2006,Southern,Mississippi,35-54,20,26.3,138,17.2
2006,Southern,Mississippi,55-74,26,30.2,74,14.7
2006,Southern,Mississippi,75+,10-20,--,27,16.7
2006,Southern,Mississippi,All,67,29.0,319,14.9
2006,Southern,North Carolina,18-34,18,19.6*,284,13.7
2006,Southern,North Carolina,35-54,66,24.3,478,18.4
2006,Southern,North Carolina,55-74,75,25.2,235,14.8
2006,Southern,North Carolina,75+,45,34.4,82,16.5
2006,Southern,North Carolina,All,204,25.7,1079,16.0
2006,Southern,Oklahoma,18-34,<10,--,144,17.0
2006,Southern,Oklahoma,35-54,27,24.8,225,22.8
2006,Southern,Oklahoma,55-74,41,28.5,114,17.6
2006,Southern,Oklahoma,75+,10-20,--,38,17.3
2006,Southern,Oklahoma,All,95,26.8,521,19.3
2006,Southern,South Carolina,18-34,15,34.9*,124,12.3
2006,Southern,South Carolina,35-54,26,18.7,218,17.6
2006,Southern,South Carolina,55-74,36,21.6,130,15.9
2006,Southern,South Carolina,75+,19,28.4*,38,15.7
2006,Southern,South Carolina,All,96,23.1,510,15.4
2006,Southern,Tennessee,18-34,16,34.0*,197,14.3
2006,Southern,Tennessee,35-54,76,43.9,414,23.4
2006,Southern,Tennessee,55-74,56,26.5,186,16.6
2006,Southern,Tennessee,75+,23,25.6,59,17.0
2006,Southern,Tennessee,All,171,32.8,856,18.5
2006,Southern,Texas,18-34,40,19.7,698,12.0
2006,Southern,Texas,35-54,134,23.8,938,14.3
2006,Southern,Texas,55-74,135,20.8,457,13.2
2006,Southern,Texas,75+,91,31.7,176,16.7
2006,Southern,Texas,All,400,23.5,2269,13.4
2006,Southern,Virginia,18-34,<10,--,205,11.4
2006,Southern,Virginia,35-54,64,22.0,377,16.3
2006,Southern,Virginia,55-74,55,20.0,200,15.1
2006,Southern,Virginia,75+,30-40,--,73,18.0
2006,Southern,Virginia,All,164,21.1,855,14.6
2006,Southern,West Virginia,18-34,<10,--,51,13.1
2006,Southern,West Virginia,35-54,20,42.6,128,24.2
2006,Southern,West Virginia,55-74,20,26.7,61,15.8
2006,Southern,West Virginia,75+,10-20,--,22,16.5
2006,Southern,West Virginia,All,57,32.8,262,18.2
2006,Western,Alaska,18-34,<10,--,49,29.8
2006,Western,Alaska,35-54,<10,--,51,24.3
2006,Western,Alaska,55-74,10,34.5*,10-20,--
2006,Western,Alaska,75+,<10,--,<10,--
2006,Western,Alaska,All,27,36.5,124,25.3
2006,Western,All,18-34,127,27.1,2203,13.2
2006,Western,All,35-54,517,32.2,3354,17.0
2006,Western,All,55-74,492,23.4,1741,15.8
2006,Western,All,75+,366,35.1,844,23.1
2006,Western,All,All,1502,28.8,8142,15.9
2006,Western,Arizona,18-34,16,38.1*,252,17.6
2006,Western,Arizona,35-54,62,41.3,348,21.6
2006,Western,Arizona,55-74,75,33.3,219,20.7
2006,Western,Arizona,75+,49,38.3,111,31.2
2006,Western,Arizona,All,202,37.1,930,20.9
2006,Western,California,18-34,48,24.4,805,9.1
2006,Western,California,35-54,176,26.3,1341,12.9
2006,Western,California,55-74,174,20.0,713,13.0
2006,Western,California,75+,142,29.5,385,20.5
2006,Western,California,All,540,24.4,3244,12.2
2006,Western,Colorado,18-34,11,26.8*,214,18.6
2006,Western,Colorado,35-54,44,29.7,320,22.5
2006,Western,Colorado,55-74,47,28.1,131,17.4
2006,Western,Colorado,75+,24,36.4,44,19.9
2006,Western,Colorado,All,126,29.9,709,20.0
2006,Western,Hawaii,18-34,<10,--,37,12.0
2006,Western,Hawaii,35-54,<10,--,49,13.1
2006,Western,Hawaii,55-74,<10,--,19,7.9*
2006,Western,Hawaii,75+,<10,--,10,11.2*
2006,Western,Hawaii,All,15,12.0*,115,11.4
2006,Western,Idaho,18-34,<10,--,61,17.7
2006,Western,Idaho,35-54,15,37.5*,92,23.3
2006,Western,Idaho,55-74,12,22.2*,39,15.9
2006,Western,Idaho,75+,<10,--,18,22.7*
2006,Western,Idaho,All,42,31.8,210,19.7
2006,Western,Montana,18-34,<10,--,55,26.6
2006,Western,Montana,35-54,10-20,--,68,24.8
2006,Western,Montana,55-74,15,31.9*,38,20.4
2006,Western,Montana,75+,16,84.2*,23,36.1
2006,Western,Montana,All,49,46.2,184,25.2
2006,Western,Nevada,18-34,<10,--,114,19.1
2006,Western,Nevada,35-54,39,55.7,188,25.8
2006,Western,Nevada,55-74,30,29.7,123,27.5
2006,Western,Nevada,75+,20-30,--,46,40.3
2006,Western,Nevada,All,103,44.6,471,24.9
2006,Western,New Mexico,18-34,<10,--,111,24.7
2006,Western,New Mexico,35-54,17,30.4*,128,23.5
2006,Western,New Mexico,55-74,24,32.9,66,18.6
2006,Western,New Mexico,75+,10-20,--,27,24.6
2006,Western,New Mexico,All,61,34.3,332,22.8
2006,Western,Oregon,18-34,10,34.5*,142,16.9
2006,Western,Oregon,35-54,43,41.7,244,23.1
2006,Western,Oregon,55-74,36,24.0,119,17.5
2006,Western,Oregon,75+,33,45.2,66,27.8
2006,Western,Oregon,All,122,34.4,571,20.3
2006,Western,Utah,18-34,<10,--,117,16.3
2006,Western,Utah,35-54,16,37.2*,147,24.7
2006,Western,Utah,55-74,15,25.0*,62,19.4
2006,Western,Utah,75+,10-20,--,25,24.4
2006,Western,Utah,All,48,31.6,351,20.2
2006,Western,Washington,18-34,<10,--,215,14.5
2006,Western,Washington,35-54,68,31.9,332,17.5
2006,Western,Washington,55-74,49,19.0,173,15.8
2006,Western,Washington,75+,20-30,--,70,19.7
2006,Western,Washington,All,147,23.1,790,16.3
2006,Western,Wyoming,18-34,<10,--,31,25.5
2006,Western,Wyoming,35-54,<10,--,46,30.5
2006,Western,Wyoming,55-74,<10,--,20,20.9
2006,Western,Wyoming,75+,<10,--,14,48.2*
2006,Western,Wyoming,All,20,38.5,111,27.9
2006,All,U.S. Total,18-34,531,24.2,8453,12.3
2006,All,U.S. Total,35-54,2070,27.9,14017,16.2
2006,All,U.S. Total,55-74,2063,21.5,6967,13.6
2006,All,U.S. Total,75+,1369,27.8,2915,16.2
2006,All,U.S. Total,All,6035,25.0,32352,14.4
2007,Northeastern,All,18-34,44,17.1,1140,9.5
2007,Northeastern,All,35-54,254,25.6,2039,12.5
2007,Northeastern,All,55-74,261,16.7,1061,10.7
2007,Northeastern,All,75+,184,19.2,407,10.7
2007,Northeastern,All,All,743,19.7,4647,11.0
2007,Northeastern,Connecticut,18-34,<10,--,60,8.4
2007,Northeastern,Connecticut,35-54,10,14.9*,123,11.3
2007,Northeastern,Connecticut,55-74,14,13.1*,60,9.4
2007,Northeastern,Connecticut,75+,<10,--,23,9.1
2007,Northeastern,Connecticut,All,35,13.5,266,9.9
2007,Northeastern,Maine,18-34,<10,--,52,20.0
2007,Northeastern,Maine,35-54,<10,--,69,16.9
2007,Northeastern,Maine,55-74,21,35.0,46,16.6
2007,Northeastern,Maine,75+,<10,--,21,21.8
2007,Northeastern,Maine,All,40,28.2,188,18.1
2007,Northeastern,Massachusetts,18-34,<10,--,123,8.4
2007,Northeastern,Massachusetts,35-54,19,16.4*,230,11.9
2007,Northeastern,Massachusetts,55-74,27,14.7,118,10.3
2007,Northeastern,Massachusetts,75+,10-20,--,34,7.6
2007,Northeastern,Massachusetts,All,71,15.7,505,10.1
2007,Northeastern,New Hampshire,18-34,<10,--,28,10.5
2007,Northeastern,New Hampshire,35-54,15,39.5*,73,17.4
2007,Northeastern,New Hampshire,55-74,19,34.5*,41,16.6
2007,Northeastern,New Hampshire,75+,<10,--,12,15.1*
2007,Northeastern,New Hampshire,All,41,33.3,154,15.2
2007,Northeastern,New Jersey,18-34,<10,--,155,8.5
2007,Northeastern,New Jersey,35-54,25,20.2,256,9.6
2007,Northeastern,New Jersey,55-74,26,11.9,120,7.8
2007,Northeastern,New Jersey,75+,20-30,--,52,9.1
2007,Northeastern,New Jersey,All,78,15.1,583,8.9
2007,Northeastern,New York,18-34,<10,--,336,7.5
2007,Northeastern,New York,35-54,73,25.1,583,10.4
2007,Northeastern,New York,55-74,51,11.6,321,9.4
2007,Northeastern,New York,75+,50-60,--,127,10.1
2007,Northeastern,New York,All,179,16.5,1367,9.3
2007,Northeastern,Pennsylvania,18-34,19,26.0*,343,12.8
2007,Northeastern,Pennsylvania,35-54,91,33.1,625,17.1
2007,Northeastern,Pennsylvania,55-74,88,20.0,309,12.9
2007,Northeastern,Pennsylvania,75+,64,23.4,128,12.9
2007,Northeastern,Pennsylvania,All,262,24.7,1405,14.4
2007,Northeastern,Rhode Island,18-34,<10,--,20-30,--
2007,Northeastern,Rhode Island,35-54,<10,--,47,15.1
2007,Northeastern,Rhode Island,55-74,<10,--,23,12.3
2007,Northeastern,Rhode Island,75+,<10,--,<10,--
2007,Northeastern,Rhode Island,All,20,24.7,95,11.5
2007,Northeastern,Vermont,18-34,<10,--,20-30,--
2007,Northeastern,Vermont,35-54,<10,--,33,17.4
2007,Northeastern,Vermont,55-74,<10,--,23,18.3
2007,Northeastern,Vermont,75+,<10,--,<10,--
2007,Northeastern,Vermont,All,17,34.7*,84,17.2
2007,Midwestern,All,18-34,117,26.3,1986,13.3
2007,Midwestern,All,35-54,468,29.6,3203,16.8
2007,Midwestern,All,55-74,452,20.8,1497,12.8
2007,Midwestern,All,75+,310,27.5,599,14.0
2007,Midwestern,All,All,1348,25.3,7285,14.6
2007,Midwestern,Illinois,18-34,20,28.6,310,10.4
2007,Midwestern,Illinois,35-54,45,19.7,457,12.5
2007,Midwestern,Illinois,55-74,48,14.1,209,9.8
2007,Midwestern,Illinois,75+,51,26.3,106,14.0
2007,Midwestern,Illinois,All,165,19.8,1082,11.4
2007,Midwestern,Indiana,18-34,18,45.0*,217,14.9
2007,Midwestern,Indiana,35-54,54,32.7,336,18.5
2007,Midwestern,Indiana,55-74,44,21.4,161,14.5
2007,Midwestern,Indiana,75+,28,28.6,53,13.8
2007,Midwestern,Indiana,All,144,28.3,767,16.1
2007,Midwestern,Iowa,18-34,<10,--,76,11.4
2007,Midwestern,Iowa,35-54,24,33.3,140,16.9
2007,Midwestern,Iowa,55-74,22,21.2,65,11.8
2007,Midwestern,Iowa,75+,10-20,--,28,12.2
2007,Midwestern,Iowa,All,63,24.4,309,13.6
2007,Midwestern,Kansas,18-34,<10,--,93,14.5
2007,Midwestern,Kansas,35-54,32,43.8,169,21.9
2007,Midwestern,Kansas,55-74,10-20,--,73,15.4
2007,Midwestern,Kansas,75+,25,53.2,33,17.7
2007,Midwestern,Kansas,All,77,31.8,368,17.8
2007,Midwestern,Michigan,18-34,16,28.1*,270,12.5
2007,Midwestern,Michigan,35-54,63,26.6,514,17.6
2007,Midwestern,Michigan,55-74,76,23.1,226,12.5
2007,Midwestern,Michigan,75+,48,28.7,89,14.1
2007,Midwestern,Michigan,All,203,25.7,1099,14.6
2007,Midwestern,Minnesota,18-34,<10,--,155,13.0
2007,Midwestern,Minnesota,35-54,33,28.2,239,15.6
2007,Midwestern,Minnesota,55-74,44,24.4,116,13.2
2007,Midwestern,Minnesota,75+,20-30,--,39,12.1
2007,Midwestern,Minnesota,All,107,25.7,549,14.0
2007,Midwestern,Missouri,18-34,10,21.3*,206,15.5
2007,Midwestern,Missouri,35-54,49,30.4,349,20.9
2007,Midwestern,Missouri,55-74,51,23.5,159,14.8
2007,Midwestern,Missouri,75+,28,25.2,72,18.9
2007,Midwestern,Missouri,All,138,25.7,786,17.6
2007,Midwestern,Nebraska,18-34,<10,--,43,10.4
2007,Midwestern,Nebraska,35-54,<10,--,72,14.7
2007,Midwestern,Nebraska,55-74,12,20.7*,35,11.4
